GATE_START 2026-08-11T08:42:48+00:00 rev=a517402 scope=tail
== baseline: cargo check --workspace
   baseline OK
== candidates enumerated: 533  (inherent `pub fn` only; trait methods are out of scope)
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2351  is_balanced
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2367  leaked_count
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2375  ce_seed
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2384  ce_image
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2391  ce_clear
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2397  fb_declare
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2406  fb_covers
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2416  ce_clear_range
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2488  compact
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2548  hold
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2556  client_lock
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2562  parked_of
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2572  verbs_of
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2699  standalone
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2709  with_guest_ram
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:3494  new
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:3506  with_pool_size
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:3527  with_guest_ram
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:3537  spawned
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:3619  new
   ORPHAN  crates/kayfabe-mocks/src/watchdog.rs:70  limit_or_env
   ORPHAN  crates/kayfabe-mocks/src/watchdog.rs:85  write_uncaptured
   ORPHAN  crates/kayfabe-mocks/src/watchdog.rs:108  thread_report
   ORPHAN  crates/kayfabe-qemu-raw/src/lib.rs:110  build_rev
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:333  code
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:344  classify
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:381  classify_realize
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:403  bar_from_index
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:414  bar_index
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:455  placements
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:523  desc
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:595  realize
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:617  machine
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:622  unrealize
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:633  install_window
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:644  region_add
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:649  region_del
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:660  bar_move_requested
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:678  note_bar_mapping
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:715  audit
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:838  new
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:1241  copy_sentence
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:1300  publication_row
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:2460  classify_chip
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:2522  chip_for
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:2533  chip_identity
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:6228  create
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:6246  create_probed
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:6412  plane
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:6439  object_model
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:6452  completion_watch
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:6472  attach_ram
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:6622  report_stated_guest_ram_at
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:6740  stated_guest_ram
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:6749  guest_ram_backing
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:6760  detach_ram
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:6774  read
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:6788  write
   ORPHAN  crates/kayfabe-qemu-raw/src/shim.rs:6838  reset
