GATE_START 2026-08-11T08:47:19+00:00 rev=a517402 scope=devgsp
== baseline: cargo check --workspace
   baseline OK
== candidates enumerated: 458  (inherent `pub fn` only; trait methods are out of scope)
   ORPHAN  crates/kayfabe-device/src/sticky.rs:241  rmapi_control_is_cacheable
   ORPHAN  crates/kayfabe-device/src/sticky.rs:263  reply_would_be_cached
   ORPHAN  crates/kayfabe-device/src/sticky.rs:300  new
   ORPHAN  crates/kayfabe-device/src/sticky.rs:318  inspected
   ORPHAN  crates/kayfabe-device/src/sticky.rs:330  rewritten
   ORPHAN  crates/kayfabe-device/src/sticky.rs:344  neutralised
   ORPHAN  crates/kayfabe-device/src/sticky.rs:351  malformed
   ORPHAN  crates/kayfabe-device/src/sweep.rs:137  must_be_served
   ORPHAN  crates/kayfabe-device/src/sweep.rs:900  triage_for
   ORPHAN  crates/kayfabe-device/src/sweep.rs:913  must_serve_and_unserved
   ORPHAN  crates/kayfabe-device/src/unserviced.rs:216  new
   ORPHAN  crates/kayfabe-device/src/unserviced.rs:223  total
   ORPHAN  crates/kayfabe-device/src/unserviced.rs:245  distinct
   ORPHAN  crates/kayfabe-device/src/unserviced.rs:255  truncated
   ORPHAN  crates/kayfabe-device/src/unserviced.rs:261  sample
   ORPHAN  crates/kayfabe-device/src/unserviced.rs:272  note
   ORPHAN  crates/kayfabe-device/src/unserviced.rs:303  new
   ORPHAN  crates/kayfabe-gsp/src/boot.rs:188  status_cursor
   ORPHAN  crates/kayfabe-gsp/src/boot.rs:194  command_cursor
   ORPHAN  crates/kayfabe-gsp/src/boot.rs:543  len
   ORPHAN  crates/kayfabe-gsp/src/boot.rs:549  is_empty
   ORPHAN  crates/kayfabe-gsp/src/boot.rs:726  command_seq
   ORPHAN  crates/kayfabe-gsp/src/boot.rs:733  observe
   ORPHAN  crates/kayfabe-gsp/src/boot.rs:1243  service_command_queue
   ORPHAN  crates/kayfabe-gsp/src/boot.rs:1577  post
   ORPHAN  crates/kayfabe-gsp/src/element.rs:191  hdr_size
   ORPHAN  crates/kayfabe-gsp/src/element.rs:197  checksum_off
   ORPHAN  crates/kayfabe-gsp/src/element.rs:203  seqnum_off
   ORPHAN  crates/kayfabe-gsp/src/element.rs:215  elem_count_off
   ORPHAN  crates/kayfabe-gsp/src/element.rs:221  transport
   ORPHAN  crates/kayfabe-gsp/src/element.rs:322  new
   ORPHAN  crates/kayfabe-gsp/src/element.rs:349  rpc_length
   ORPHAN  crates/kayfabe-gsp/src/element.rs:355  msg_len
   ORPHAN  crates/kayfabe-gsp/src/element.rs:361  elements
   ORPHAN  crates/kayfabe-gsp/src/element.rs:368  element_size_min
   ORPHAN  crates/kayfabe-gsp/src/fault.rs:98  code
   ORPHAN  crates/kayfabe-gsp/src/ram.rs:97  load
   ORPHAN  crates/kayfabe-gsp/src/ram.rs:163  from_pages
   ORPHAN  crates/kayfabe-gsp/src/ram.rs:187  len
   ORPHAN  crates/kayfabe-gsp/src/ram.rs:193  is_empty
   ORPHAN  crates/kayfabe-gsp/src/ram.rs:240  read
   ORPHAN  crates/kayfabe-gsp/src/ram.rs:259  write
   ORPHAN  crates/kayfabe-gsp/src/ram.rs:273  read_u32
   ORPHAN  crates/kayfabe-gsp/src/ram.rs:284  write_u32
   ORPHAN  crates/kayfabe-gsp/src/replay.rs:142  new
   ORPHAN  crates/kayfabe-gsp/src/replay.rs:147  push
   ORPHAN  crates/kayfabe-gsp/src/replay.rs:153  items
   ORPHAN  crates/kayfabe-gsp/src/replay.rs:159  count
   ORPHAN  crates/kayfabe-gsp/src/replay.rs:165  refusals
   ORPHAN  crates/kayfabe-gsp/src/replay.rs:178  unseen_kinds
   ORPHAN  crates/kayfabe-gsp/src/replay.rs:342  new
   ORPHAN  crates/kayfabe-gsp/src/replay.rs:354  with_projection
   ORPHAN  crates/kayfabe-gsp/src/replay.rs:360  refused
   ORPHAN  crates/kayfabe-gsp/src/ring.rs:95  new
   ORPHAN  crates/kayfabe-gsp/src/ring.rs:103  get
   ORPHAN  crates/kayfabe-gsp/src/ring.rs:109  slot
   ORPHAN  crates/kayfabe-gsp/src/ring.rs:121  index
   ORPHAN  crates/kayfabe-gsp/src/ring.rs:163  decode
   ORPHAN  crates/kayfabe-gsp/src/ring.rs:385  fresh
   ORPHAN  crates/kayfabe-gsp/src/ring.rs:431  bind
   ORPHAN  crates/kayfabe-gsp/src/ring.rs:492  published_header
   ORPHAN  crates/kayfabe-gsp/src/ring.rs:498  msg_count
   ORPHAN  crates/kayfabe-gsp/src/ring.rs:512  element_size
   ORPHAN  crates/kayfabe-gsp/src/ring.rs:524  cmd_write_ptr_off
   ORPHAN  crates/kayfabe-gsp/src/ring.rs:540  peer_stat_read_ptr_off
   ORPHAN  crates/kayfabe-gsp/src/ring.rs:551  cmd_read_ptr_ack_off
   ORPHAN  crates/kayfabe-gsp/src/ring.rs:557  cmd_element_off
   ORPHAN  crates/kayfabe-gsp/src/ring.rs:565  stat_element_off
   ORPHAN  crates/kayfabe-gsp/src/rpc.rs:197  validated
   ORPHAN  crates/kayfabe-gsp/src/rpc.rs:211  classify
   ORPHAN  crates/kayfabe-gsp/src/rpc.rs:316  disposition
   ORPHAN  crates/kayfabe-gsp/src/rpc.rs:353  allowed_in_bootup_window
   ORPHAN  crates/kayfabe-gsp/src/rpc.rs:435  from_incoming
   ORPHAN  crates/kayfabe-gsp/src/rpc.rs:472  reply
   ORPHAN  crates/kayfabe-gsp/src/rpc.rs:611  reply_alloc
   ORPHAN  crates/kayfabe-gsp/src/rpc.rs:650  ack
   ORPHAN  crates/kayfabe-isolate-host/src/child.rs:129  isolate
   ORPHAN  crates/kayfabe-isolate-host/src/export.rs:74  mint
   ORPHAN  crates/kayfabe-isolate-host/src/export.rs:90  lend
   ORPHAN  crates/kayfabe-isolate-host/src/export.rs:101  len
   ORPHAN  crates/kayfabe-isolate-host/src/export.rs:110  is_empty
   ORPHAN  crates/kayfabe-isolate-host/src/export.rs:127  new
   ORPHAN  crates/kayfabe-isolate-host/src/export.rs:147  adopt
   ORPHAN  crates/kayfabe-isolate-host/src/export.rs:162  dup
   ORPHAN  crates/kayfabe-isolate-host/src/export.rs:183  kind
   ORPHAN  crates/kayfabe-isolate-host/src/export.rs:193  origin
   ORPHAN  crates/kayfabe-isolate-host/src/export.rs:203  len
   ORPHAN  crates/kayfabe-isolate-host/src/export.rs:209  is_empty
   ORPHAN  crates/kayfabe-isolate-host/src/fdcross.rs:97  adopt
   ORPHAN  crates/kayfabe-isolate-host/src/fdcross.rs:112  origin
   ORPHAN  crates/kayfabe-isolate-host/src/fdcross.rs:119  kind
   ORPHAN  crates/kayfabe-isolate-host/src/fdcross.rs:138  lend_to
   ORPHAN  crates/kayfabe-isolate-host/src/fdcross.rs:154  as_local_fd
   ORPHAN  crates/kayfabe-isolate-host/src/fdcross.rs:162  into_owned
   ORPHAN  crates/kayfabe-isolate-host/src/guestram.rs:88  new
   ORPHAN  crates/kayfabe-isolate-host/src/guestram.rs:100  bytes
   ORPHAN  crates/kayfabe-isolate-host/src/guestram.rs:125  honour
