# kayfabe-mmu::walker decode of cuda/walk/corpus/real_ga106.bin
# image <name> <benign 0|1> <leaf count>
# leaf <va-hex> <phys-hex> <size-hex> <aperture 0..3> <read_only 0|1>
image real_ga106_vas_2efa4c000 1 263
leaf 1200ee000 2eed64000 1000 0 0
leaf 1200ef000 2eed65000 1000 0 0
leaf 1200f0000 2eed66000 1000 0 0
leaf 1200f1000 2eed67000 1000 0 0
leaf 1200f2000 2eed68000 1000 0 0
leaf 1200f3000 2eed69000 1000 0 0
leaf 1200f4000 2eed6a000 1000 0 0
leaf 1200f5000 2eed6b000 1000 0 0
leaf 1200f6000 2eed6c000 1000 0 0
leaf 1200f7000 2eed6d000 1000 0 0
leaf 1200f8000 2eed6e000 1000 0 0
leaf 1200f9000 2eed6f000 1000 0 0
leaf 1200fa000 2eed70000 1000 0 0
leaf 1200fb000 2eed71000 1000 0 0
leaf 1200fc000 2eed72000 1000 0 0
leaf 1200fd000 2eed73000 1000 0 0
leaf 1200fe000 2eed74000 1000 0 0
leaf 1200ff000 2eed75000 1000 0 0
leaf 120100000 2eed76000 1000 0 0
leaf 120101000 2eed77000 1000 0 0
leaf 120102000 2eed78000 1000 0 0
leaf 120103000 2eed79000 1000 0 0
leaf 120104000 2eed7a000 1000 0 0
leaf 120105000 2eed7b000 1000 0 0
leaf 120106000 2eed7c000 1000 0 0
leaf 120107000 2eed7d000 1000 0 0
leaf 120108000 2eed7e000 1000 0 0
leaf 120109000 2eed7f000 1000 0 0
leaf 120110000 2eed80000 10000 0 1
leaf 120120000 2eed90000 10000 0 1
leaf 120130000 2eeda0000 10000 0 1
leaf 120140000 2eedb0000 10000 0 1
leaf 120150000 2eedc0000 10000 0 1
leaf 120160000 2eedd0000 10000 0 1
leaf 120170000 2eede0000 10000 0 1
leaf 120180000 2eedf0000 10000 0 1
leaf 120190000 2ef8a0000 10000 0 0
leaf 1201a0000 2ef8b0000 10000 0 0
leaf 1201b0000 2ef8c0000 10000 0 0
