# tag	field	nvkvm-pv	driver-matrix	verdict
535.43.23	vaspace_alloc_size	48	48	agree
535.43.23	mem_alloc_size	120	120	agree
535.43.23	nv00de_alloc_size	4	4	agree
535.43.23	nvos46_size	56	56	agree
535.43.23	nvos46_status_off	48	48	agree
535.43.24	uvm_map_ext_size	1200	1200	agree
535.43.24	uvm_map_ext_fd_off	1184	1184	agree
535.43.24	uvm_sem_pool_size	1184	1184	agree
535.43.24	uvm_register_gpu_size	40	40	agree
535.43.24	uvm_register_gpu_fd_off	24	24	agree
535.43.24	uvm_register_gpu_status_off	36	36	agree
535.43.24	uvm_register_gpu_hclient_off	28	28	agree
535.43.24	uvm_register_gpu_hsmcpart_off	32	32	agree
535.43.24	chan_alloc_size	360	360	agree
535.43.24	vaspace_alloc_size	48	48	agree
535.43.24	mem_alloc_size	120	120	agree
535.43.24	nv00de_alloc_size	4	4	agree
535.43.24	nvos46_size	56	56	agree
535.43.24	nvos46_status_off	48	48	agree
535.43.25	uvm_map_ext_size	1200	1200	agree
535.43.25	uvm_map_ext_fd_off	1184	1184	agree
535.43.25	uvm_sem_pool_size	1184	1184	agree
535.43.25	uvm_register_gpu_size	40	40	agree
535.43.25	uvm_register_gpu_fd_off	24	24	agree
535.43.25	uvm_register_gpu_status_off	36	36	agree
535.43.25	uvm_register_gpu_hclient_off	28	28	agree
535.43.25	uvm_register_gpu_hsmcpart_off	32	32	agree
535.43.25	chan_alloc_size	360	360	agree
535.43.25	vaspace_alloc_size	48	48	agree
535.43.25	mem_alloc_size	120	120	agree
535.43.25	nv00de_alloc_size	4	4	agree
535.43.25	nvos46_size	56	56	agree
535.43.25	nvos46_status_off	48	48	agree
535.43.28	uvm_map_ext_size	1200	1200	agree
535.43.28	uvm_map_ext_fd_off	1184	1184	agree
535.43.28	uvm_sem_pool_size	1184	1184	agree
535.43.28	uvm_register_gpu_size	40	40	agree
535.43.28	uvm_register_gpu_fd_off	24	24	agree
535.43.28	uvm_register_gpu_status_off	36	36	agree
535.43.28	uvm_register_gpu_hclient_off	28	28	agree
535.43.28	uvm_register_gpu_hsmcpart_off	32	32	agree
535.43.28	chan_alloc_size	360	360	agree
535.43.28	vaspace_alloc_size	48	48	agree
535.43.28	mem_alloc_size	120	120	agree
535.43.28	nv00de_alloc_size	4	4	agree
535.43.28	nvos46_size	56	56	agree
535.43.28	nvos46_status_off	48	48	agree
535.54.03	uvm_map_ext_size	1200	1200	agree
535.54.03	uvm_map_ext_fd_off	1184	1184	agree
535.54.03	uvm_sem_pool_size	1184	1184	agree
535.54.03	uvm_register_gpu_size	40	40	agree
535.54.03	uvm_register_gpu_fd_off	24	24	agree
535.54.03	uvm_register_gpu_status_off	36	36	agree
535.54.03	uvm_register_gpu_hclient_off	28	28	agree
535.54.03	uvm_register_gpu_hsmcpart_off	32	32	agree
535.54.03	chan_alloc_size	304	304	agree
535.54.03	vaspace_alloc_size	48	48	agree
535.54.03	mem_alloc_size	120	120	agree
535.54.03	nv00de_alloc_size	4	4	agree
535.54.03	nvos46_size	56	56	agree
535.54.03	nvos46_status_off	48	48	agree
535.86.05	uvm_map_ext_size	1200	1200	agree
535.86.05	uvm_map_ext_fd_off	1184	1184	agree
535.86.05	uvm_sem_pool_size	1184	1184	agree
535.86.05	uvm_register_gpu_size	40	40	agree
535.86.05	uvm_register_gpu_fd_off	24	24	agree
535.86.05	uvm_register_gpu_status_off	36	36	agree
535.86.05	uvm_register_gpu_hclient_off	28	28	agree
535.86.05	uvm_register_gpu_hsmcpart_off	32	32	agree
535.86.05	chan_alloc_size	360	360	agree
535.86.05	vaspace_alloc_size	48	48	agree
535.86.05	mem_alloc_size	120	120	agree
535.86.05	nv00de_alloc_size	4	4	agree
535.86.05	nvos46_size	56	56	agree
535.86.05	nvos46_status_off	48	48	agree
535.86.10	uvm_map_ext_size	1200	1200	agree
535.86.10	uvm_map_ext_fd_off	1184	1184	agree
535.86.10	uvm_sem_pool_size	1184	1184	agree
535.86.10	uvm_register_gpu_size	40	40	agree
535.86.10	uvm_register_gpu_fd_off	24	24	agree
535.86.10	uvm_register_gpu_status_off	36	36	agree
535.86.10	uvm_register_gpu_hclient_off	28	28	agree
