# kind	item	first_tag	last_tag	value    (measured by tools/drivermatrix/dm.py; tags 535.309.01..615.71.09, 29 of them)
# tags	535.309.01 545.23.08 550.40.07 550.54.14 550.90.07 555.42.02 560.28.03 565.57.01 570.86.15 570.124.06 570.148.08 575.51.02 575.51.03 575.57.08 575.64.05 580.65.06 580.82.07 580.94.02 580.95.05 580.105.08 580.126.09 580.159.04 580.173.02 580.178.04 590.48.01 595.84 610.43.02 610.57.04 615.71.09
field	GSP_ARGUMENTS_CACHED.srInitArguments.reserved	615.71.09	615.71.09	88+8@1
field	GSP_ARGUMENTS_CACHED.sysmemHeapArgs	535.309.01	570.148.08	ABSENT
field	GSP_ARGUMENTS_CACHED.sysmemHeapArgs	575.51.02	590.48.01	72+16
field	GSP_ARGUMENTS_CACHED.sysmemHeapArgs	595.84	610.57.04	104+16
field	GSP_ARGUMENTS_CACHED.sysmemHeapArgs	615.71.09	615.71.09	120+16
field	GSP_ARGUMENTS_CACHED.sysmemHeapArgs.pa	535.309.01	570.148.08	ABSENT
field	GSP_ARGUMENTS_CACHED.sysmemHeapArgs.pa	575.51.02	590.48.01	72+8
field	GSP_ARGUMENTS_CACHED.sysmemHeapArgs.pa	595.84	610.57.04	104+8
field	GSP_ARGUMENTS_CACHED.sysmemHeapArgs.pa	615.71.09	615.71.09	120+8
field	GSP_ARGUMENTS_CACHED.sysmemHeapArgs.size	535.309.01	570.148.08	ABSENT
field	GSP_ARGUMENTS_CACHED.sysmemHeapArgs.size	575.51.02	590.48.01	80+8
field	GSP_ARGUMENTS_CACHED.sysmemHeapArgs.size	595.84	610.57.04	112+8
field	GSP_ARGUMENTS_CACHED.sysmemHeapArgs.size	615.71.09	615.71.09	128+8
field	GSP_ARGUMENTS_CACHED.vbiosOverrideArgs	535.309.01	610.57.04	ABSENT
field	GSP_ARGUMENTS_CACHED.vbiosOverrideArgs	615.71.09	615.71.09	168+16
field	GSP_ARGUMENTS_CACHED.vbiosOverrideArgs.pa	535.309.01	610.57.04	ABSENT
field	GSP_ARGUMENTS_CACHED.vbiosOverrideArgs.pa	615.71.09	615.71.09	168+8
field	GSP_ARGUMENTS_CACHED.vbiosOverrideArgs.size	535.309.01	610.57.04	ABSENT
field	GSP_ARGUMENTS_CACHED.vbiosOverrideArgs.size	615.71.09	615.71.09	176+8
sizeof	GSP_MSG_QUEUE_ELEMENT	535.309.01	595.84	0+80
sizeof	GSP_MSG_QUEUE_ELEMENT	610.43.02	610.57.04	0+16
sizeof	GSP_MSG_QUEUE_ELEMENT	615.71.09	615.71.09	0+40
field	GSP_MSG_QUEUE_ELEMENT.<anon>	535.309.01	610.57.04	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.<anon>	615.71.09	615.71.09	16+24
field	GSP_MSG_QUEUE_ELEMENT.<anon>.noEncryption	535.309.01	610.57.04	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.<anon>.noEncryption	615.71.09	615.71.09	16+8
field	GSP_MSG_QUEUE_ELEMENT.<anon>.noEncryption.nvdmPayloadSize	535.309.01	610.57.04	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.<anon>.noEncryption.nvdmPayloadSize	615.71.09	615.71.09	16+4
field	GSP_MSG_QUEUE_ELEMENT.<anon>.noEncryption.payload	535.309.01	610.57.04	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.<anon>.noEncryption.payload	615.71.09	615.71.09	24+0@1
field	GSP_MSG_QUEUE_ELEMENT.<anon>.noEncryption.reserved	535.309.01	610.57.04	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.<anon>.noEncryption.reserved	615.71.09	615.71.09	20+4
field	GSP_MSG_QUEUE_ELEMENT.<anon>.withEncryption	535.309.01	610.57.04	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.<anon>.withEncryption	615.71.09	615.71.09	16+24
field	GSP_MSG_QUEUE_ELEMENT.<anon>.withEncryption.encryptionTag	535.309.01	610.57.04	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.<anon>.withEncryption.encryptionTag	615.71.09	615.71.09	16+16
field	GSP_MSG_QUEUE_ELEMENT.<anon>.withEncryption.encryptionTag.authTagBuffer	535.309.01	610.57.04	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.<anon>.withEncryption.encryptionTag.authTagBuffer	615.71.09	615.71.09	16+16@1
field	GSP_MSG_QUEUE_ELEMENT.<anon>.withEncryption.nvdmPayloadSize	535.309.01	610.57.04	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.<anon>.withEncryption.nvdmPayloadSize	615.71.09	615.71.09	32+4
field	GSP_MSG_QUEUE_ELEMENT.<anon>.withEncryption.payload	535.309.01	610.57.04	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.<anon>.withEncryption.payload	615.71.09	615.71.09	40+0@1
field	GSP_MSG_QUEUE_ELEMENT.<anon>.withEncryption.reserved	535.309.01	610.57.04	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.<anon>.withEncryption.reserved	615.71.09	615.71.09	36+4
field	GSP_MSG_QUEUE_ELEMENT.aadBuffer	535.309.01	595.84	16+16@1
field	GSP_MSG_QUEUE_ELEMENT.aadBuffer	610.43.02	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.authTagBuffer	535.309.01	595.84	0+16@1
field	GSP_MSG_QUEUE_ELEMENT.authTagBuffer	610.43.02	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.checkSum	535.309.01	595.84	32+4
field	GSP_MSG_QUEUE_ELEMENT.checkSum	610.43.02	610.57.04	8+4
field	GSP_MSG_QUEUE_ELEMENT.checkSum	615.71.09	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.elemCount	535.309.01	595.84	40+4
field	GSP_MSG_QUEUE_ELEMENT.elemCount	610.43.02	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.mctpHeader	535.309.01	595.84	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.mctpHeader	610.43.02	610.57.04	0+4
field	GSP_MSG_QUEUE_ELEMENT.mctpHeader	615.71.09	615.71.09	8+4
field	GSP_MSG_QUEUE_ELEMENT.mctpMagic	535.309.01	610.57.04	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.mctpMagic	615.71.09	615.71.09	0+4
field	GSP_MSG_QUEUE_ELEMENT.mctpPayloadSize	535.309.01	610.57.04	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.mctpPayloadSize	615.71.09	615.71.09	4+4
field	GSP_MSG_QUEUE_ELEMENT.nvdmHeader	535.309.01	595.84	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.nvdmHeader	610.43.02	610.57.04	4+4
field	GSP_MSG_QUEUE_ELEMENT.nvdmHeader	615.71.09	615.71.09	12+4
field	GSP_MSG_QUEUE_ELEMENT.payload	535.309.01	595.84	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.payload	610.43.02	610.57.04	16+0@1
field	GSP_MSG_QUEUE_ELEMENT.payload	615.71.09	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.rpc	535.309.01	595.84	48+32
field	GSP_MSG_QUEUE_ELEMENT.rpc	610.43.02	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.rpc.function	535.309.01	595.84	60+4
field	GSP_MSG_QUEUE_ELEMENT.rpc.function	610.43.02	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.rpc.header_version	535.309.01	595.84	48+4
field	GSP_MSG_QUEUE_ELEMENT.rpc.header_version	610.43.02	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.rpc.length	535.309.01	595.84	56+4
field	GSP_MSG_QUEUE_ELEMENT.rpc.length	610.43.02	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.rpc.rpc_message_data	535.309.01	590.48.01	80+0@4104
field	GSP_MSG_QUEUE_ELEMENT.rpc.rpc_message_data	595.84	595.84	80+0@5216
field	GSP_MSG_QUEUE_ELEMENT.rpc.rpc_message_data	610.43.02	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.rpc.rpc_result	535.309.01	595.84	64+4
field	GSP_MSG_QUEUE_ELEMENT.rpc.rpc_result	610.43.02	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.rpc.rpc_result_private	535.309.01	595.84	68+4
field	GSP_MSG_QUEUE_ELEMENT.rpc.rpc_result_private	610.43.02	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.rpc.sequence	535.309.01	595.84	72+4
field	GSP_MSG_QUEUE_ELEMENT.rpc.sequence	610.43.02	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.rpc.signature	535.309.01	595.84	52+4
field	GSP_MSG_QUEUE_ELEMENT.rpc.signature	610.43.02	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.rpc.u	535.309.01	595.84	76+4
field	GSP_MSG_QUEUE_ELEMENT.rpc.u	610.43.02	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.rpc.u.cpuRmGfid	535.309.01	595.84	76+4
field	GSP_MSG_QUEUE_ELEMENT.rpc.u.cpuRmGfid	610.43.02	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.rpc.u.spare	535.309.01	595.84	76+4
field	GSP_MSG_QUEUE_ELEMENT.rpc.u.spare	610.43.02	615.71.09	ABSENT
field	GSP_MSG_QUEUE_ELEMENT.seqNum	535.309.01	595.84	36+4
field	GSP_MSG_QUEUE_ELEMENT.seqNum	610.43.02	610.57.04	12+4
field	GSP_MSG_QUEUE_ELEMENT.seqNum	615.71.09	615.71.09	ABSENT
sizeof	GSP_SR_INIT_ARGUMENTS	535.309.01	610.57.04	0+12
sizeof	GSP_SR_INIT_ARGUMENTS	615.71.09	615.71.09	0+16
field	GSP_SR_INIT_ARGUMENTS.bInPMTransition	535.309.01	610.57.04	8+1
field	GSP_SR_INIT_ARGUMENTS.bInPMTransition	615.71.09	615.71.09	ABSENT
field	GSP_SR_INIT_ARGUMENTS.flags	535.309.01	615.71.09	4+4
field	GSP_SR_INIT_ARGUMENTS.oldLevel	535.309.01	615.71.09	0+4
field	GSP_SR_INIT_ARGUMENTS.reserved	535.309.01	610.57.04	ABSENT
field	GSP_SR_INIT_ARGUMENTS.reserved	615.71.09	615.71.09	8+8@1
