# epoch_s  fb_used_MiB  gpu_util  qemu_rss_KiB  compute_apps
1786735471 36 0 1322800 1699963,0;
1786735472 36 0 1322800 1699963,0;
1786735473 36 0 1322800 1699963,0;
1786735474 36 0 1325232 1699963,0;
1786735475 36 0 1325232 1699963,0;
1786735476 36 0 1325232 1699963,0;
1786735478 36 0 1325232 1699963,0;
1786735479 36 0 1325232 1699963,0;
1786735480 36 0 1325232 1699963,0;
1786735481 36 0 1325232 1699963,0;
1786735482 36 0 1325232 1699963,0;
1786735483 36 0 1325232 1699963,0;
1786735484 36 0 1325232 1699963,0;
1786735486 36 0 1325232 1699963,0;
1786735487 36 0 1325232 1699963,0;
1786735488 36 0 1325232 1699963,0;
1786735489 36 0 1325232 1699963,0;
1786735490 36 0 1325232 1699963,0;
1786735491 36 0 1325232 1699963,0;
1786735493 36 0 1325232 1699963,0;
1786735494 36 0 1325232 1699963,0;
1786735495 36 0 1325232 1699963,0;
1786735496 36 0 1325232 1699963,0;
1786735497 36 0 1325232 1699963,0;
1786735498 36 0 1325232 1699963,0;
1786735500 36 0 1325232 1699963,0;
1786735501 36 0 1325232 1699963,0;
1786735502 36 0 1325232 1699963,0;
1786735503 36 0 1325232 1699963,0;
1786735504 36 0 1325232 1699963,0;
1786735505 36 0 1325232 1699963,0;
1786735507 36 0 1325232 1699963,0;
1786735508 36 0 1325232 1699963,0;
1786735509 36 0 1325232 1699963,0;
1786735510 36 0 1325232 1699963,0;
1786735511 36 0 1325232 1699963,0;
1786735512 36 0 1325232 1699963,0;
1786735513 36 0 1325232 1699963,0;
1786735515 36 0 1325232 1699963,0;
1786735516 36 0 1325232 1699963,0;
1786735517 36 0 1325232 1699963,0;
1786735518 36 0 1325232 1699963,0;
1786735519 36 0 1325232 1699963,0;
1786735520 36 0 1325232 1699963,0;
1786735522 36 0 1325232 1699963,0;
1786735523 36 0 1325232 1699963,0;
1786735524 36 0 1325232 1699963,0;
1786735525 36 0 1325232 1699963,0;
1786735526 36 0 1325232 1699963,0;
1786735527 36 0 1325232 1699963,0;
1786735529 36 0 1325232 1699963,0;
1786735530 36 0 1325232 1699963,0;
1786735531 36 0 1325232 1699963,0;
1786735532 36 0 1325232 1699963,0;
1786735533 36 0 1325232 1699963,0;
1786735534 36 0 1325232 1699963,0;
1786735536 36 0 1325232 1699963,0;
1786735537 36 0 1325232 1699963,0;
1786735538 36 0 1325232 1699963,0;
1786735539 36 0 1325232 1699963,0;
1786735540 36 0 1326512 1699963,0;
1786735541 36 0 1326512 1699963,0;
1786735542 36 0 1326512 1699963,0;
1786735544 36 0 1326512 1699963,0;
1786735545 36 0 1326512 1699963,0;
1786735546 36 0 1326512 1699963,0;
1786735547 36 0 1326512 1699963,0;
1786735548 36 0 1326512 1699963,0;
1786735549 36 0 1326512 1699963,0;
1786735551 36 0 1326512 1699963,0;
1786735552 36 0 1326512 1699963,0;
1786735553 36 0 1326512 1699963,0;
1786735554 36 0 1326512 1699963,0;
1786735555 36 0 1326512 1699963,0;
1786735556 36 0 1326512 1699963,0;
1786735558 36 0 1326512 1699963,0;
1786735559 36 0 1326512 1699963,0;
1786735560 36 0 1326512 1699963,0;
1786735561 36 0 1326512 1699963,0;
1786735562 36 0 1326512 1699963,0;
1786735563 36 0 1326512 1699963,0;
1786735565 36 0 1326512 1699963,0;
1786735566 36 0 1326512 1699963,0;
1786735567 36 0 1326512 1699963,0;
1786735568 36 0 1326512 1699963,0;
1786735569 36 0 1326512 1699963,0;
1786735570 36 0 1326512 1699963,0;
1786735572 36 0 1326512 1699963,0;
1786735573 36 0 1326512 1699963,0;
1786735574 36 0 1326512 1699963,0;
1786735575 36 0 1326512 1699963,0;
1786735576 36 0 1326512 1699963,0;
1786735577 36 0 1326512 1699963,0;
1786735578 36 0 1326512 1699963,0;
1786735580 36 0 1326512 1699963,0;
1786735581 36 0 1326512 1699963,0;
